Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
5645.221641462001,1223,,,,,12.563094236176184,0.1462322515915812,3984,0,1.7039350325310036,,,
5645.242561462001,1223,,,,,12.563064877635835,0.1474653251370766,4029,0,1.7323115558675168,,,
5645.265331462,1223,,,,,12.56301252353298,0.1476217614720236,4067,0,1.7271007748879936,,,
5645.289776462,1223,,,,,12.562732847175797,0.14848742127474782,4090,0,1.7383746930052413,,,
5645.311281462001,1223,,,,-10.478212504616511,12.562683691268287,0.14970621036246426,4105,0,1.7540705786289854,,,
5645.338211462002,1223,,,,,12.562506085747431,0.1507212481469386,4128,0,1.77096699176504,,,
5645.364411462,1223,,,,,12.562435864927778,0.14923482616126968,4144,0,1.744385739070509,,,
5645.387406462,1223,,,,,12.562070958548079,0.15000677759495276,4164,0,1.7589309779258364,,,
5645.408946462,1223,,,,,12.562042350449243,0.14965611814218052,4177,0,1.74675178105388,,,
5645.435651462,1223,,,,,12.562059481649198,0.151131342377667,4185,0,1.7707725117908837,,,
5645.458136462001,1223,,,,-12.158981504344842,12.561641283262166,0.15169995255287394,4197,0,1.7823950836867528,,,
5645.485641462001,1223,,,,,12.561382768128173,0.1521009718600543,4209,0,1.7887744073537928,,,
5645.507956462002,1223,,,,,12.561267735671148,0.15221731418398504,4214,0,1.7847435221224384,,,
5645.543921462,1223,,,,,12.561031755126004,0.15195796095125386,4219,0,1.779728150799544,,,
5645.575711462,1223,,,,,12.561184336801958,0.15244736590026325,4233,0,1.7904295668733388,,,
5645.5999614620005,1223,,,,-13.431991408926269,12.560954176712194,0.1534950715963275,4239,0,1.8011438816174203,,,
5645.6230364620005,1223,,,,,12.561018401469745,0.1538691882449997,4249,0,1.8041012038166018,,,
5645.645341462001,1223,,,,,12.561166436689549,0.15339616293660358,4243,0,1.7934977202177742,,,
5645.667901462,1223,,,,,12.560975223618021,0.152653615752596,4255,0,1.7944810244145932,,,
5645.690241462001,1223,,,,,12.561009788929193,0.15368627807840682,4254,0,1.8119512111551572,,,
5645.713491462001,1223,,,,,12.56076266748608,0.15196483661070664,4250,0,1.7928606992498506,,,
5645.735341462,1223,,,,,12.560618091606646,0.15092103350627442,4256,0,1.7698815482866679,,,
5645.762486462001,1223,,,,-14.52841846849468,12.5604811508389,0.14848467268313076,4256,0,1.7440731330028356,,,
5645.785801462001,1223,,,,,12.560493894385864,0.15011884681635645,4261,0,1.755293230748672,,,
5645.816291462001,1223,,,,,12.560898905338615,0.15196692869497905,4258,0,1.7732617383524074,,,
5645.840366462001,1223,,,,,12.560741060814447,0.1517553253036519,4263,0,1.768034705913109,,,
5645.868191462,1223,,,,,12.560495671410852,0.15167960299541272,4260,0,1.7672655694945958,,,
5645.890666462002,1223,,,,,12.560460028496244,0.1499859327347595,4254,0,1.7447032495353982,,,
5645.917006462,1223,,,,-16.34325252866059,12.560218003798301,0.15135186157141461,4257,0,1.759308749316935,,,
5645.9425214620005,1223,,,,,12.560303968938712,0.15002512389991543,4255,0,1.7430759101787743,,,
5645.9662114620005,1223,,,,,12.5603360530838,0.1499241126890522,4254,0,1.7420984414593812,,,
5645.988231462001,1223,,,,,12.560206033843285,0.15060399039630762,4255,0,1.7525849971487228,,,
5646.010741462001,1223,,,,,12.560139737967164,0.15094418161155757,4253,0,1.7564834855385005,,,
5646.037336462001,1223,,,,,12.560378585223814,0.1509858848385159,4253,0,1.7601758659723032,,,
5646.059066462001,1223,,,,-17.04438356742988,12.560130873122091,0.14998936464858442,4256,0,1.7516716592256167,,,
5646.089221462001,1223,,,,,12.559994864171324,0.14865228418770987,4257,0,1.7342278863194704,,,
5646.112246462,1223,,,,,12.56005253324476,0.14847443133606253,4254,0,1.7351031869470441,,,
5646.135841462001,1223,,,,,12.560504501640748,0.14909682569546906,4260,0,1.7412179809742638,,,
5646.158276462001,1223,,,,,12.560663007314835,0.14844970780783856,4252,0,1.7324225073773878,,,
5646.189326462,1223,,,,,12.560500409866341,0.14989831948410506,4252,0,1.7542522039614137,,,
5646.213721462001,1223,,,,-16.624818933124583,12.560217013770886,0.15065617129151573,4257,0,1.7581547058463203,,,
5646.239961462002,1230,,,,,12.560141161334329,0.15023639478229844,4252,0,1.753884091999307,,,
5646.266706462002,1230,,,,,12.560196461039872,0.1509138384321579,4256,0,1.7595187117485274,,,
5646.289636462,1230,,,,,12.559881384773337,0.15081375531510144,4251,0,1.761048555624895,,,
5646.3139214620005,1230,,,,,12.559293557896765,0.15446724862213057,4271,0,1.8117631839613195,,,
5646.3364964620005,1230,,,,,12.558290253267163,0.15893458177241065,4304,0,1.8793460571382925,,,
5646.360396462001,1230,,,,-16.17645058648702,12.55803772982894,0.16138760157634233,4342,0,1.9084643151674932,,,
5646.386021462001,1230,,,,,12.557576294791254,0.1669443471605594,4369,0,1.9778597425434772,,,
5646.407546462001,1230,,,,,12.557241960448792,0.16756799018864485,4387,0,1.9868086142043742,,,
5646.435911462,1230,,,,,12.557418259094485,0.17047003381480322,4415,0,2.016395948193111,,,
5646.458576462001,1230,,,,,12.55719846444931,0.17051425526965877,4423,0,2.0212223473059923,,,
5646.491611462001,1230,,,,,12.557471509622939,0.17169591414474542,4435,0,2.0287396984117274,,,
5646.515531462001,1230,,,,-15.977929099311135,12.557527467477449,0.1711940228893745,4449,0,2.0232722900058713,,,
5646.538796462,1230,,,,,12.557308930725608,0.1715400007309809,4460,0,2.0194441928236024,,,
5646.561876462,1230,,,,,12.556964697917822,0.17245436232312172,4476,0,2.0362511751631,,,
5646.585916462001,1230,,,,,12.556459162282888,0.1727665935983086,4474,0,2.0488535556302683,,,
5646.610186462001,1230,,,,,12.556191782356496,0.17411596088266829,4499,0,2.069548961464842,,,
5646.6385164620015,1230,,,,,12.555658254961363,0.17482919422998786,4508,0,2.074733296901802,,,
5646.6644414620005,1236,,,,-16.160605574046517,12.555144625758938,0.17818760633875422,4525,0,2.1127753468622372,,,
5646.690346462001,1236,,,,,12.555092092854231,0.17679476134144032,4539,0,2.0973883968825224,,,
5646.715516462001,1236,,,,,12.554810802199551,0.17948160106370317,4542,0,2.142391648940673,,,
5646.738841462001,1236,,,,,12.554778813313945,0.1809799646902371,4559,0,2.1594053696345923,,,
5646.761266462,1236,,,,,12.554338288544157,0.18245070943489136,4582,0,2.175537335764138,,,
5646.787346462001,1236,,,,,12.553563709049504,0.18577007504883047,4604,0,2.222329635308939,,,
5646.810571462001,1236,,,,-16.894490474984593,12.553642343096678,0.18684553427025558,4623,0,2.236668533739685,,,
5646.835191462001,1236,,,,,12.553362335929993,0.18863928723076478,4646,0,2.257829052231664,,,
5646.861396462001,1236,,,,,12.55280232776759,0.19091462368249357,4660,0,2.2912645277409096,,,
5646.886651462,1236,,,,,12.552802144526064,0.19265303524030797,4674,0,2.3126097726658337,,,
5646.908371462,1236,,,,,12.552421103268635,0.1940132443875015,4687,0,2.3301848433743837,,,
5646.935141462001,1236,,,,,12.552357136927023,0.19470671850813537,4700,0,2.3190330961855263,,,
5646.956831462,1236,,,,-17.585381061914553,12.551930684133447,0.19523552834033508,4706,0,2.3177354553895904,,,
5646.981876462,1236,,,,,12.551940867324038,0.1966609530327345,4710,0,2.334071290807138,,,
5647.007181462001,1236,,,,,12.551988396528719,0.19684391650963234,4720,0,2.335481795567474,,,
5647.045706462,1236,,,,,12.551762207500413,0.19393076961467964,4718,0,2.2924528483505187,,,
5647.070046462,1236,,,,,12.55217500678819,0.195367865623902,4729,0,2.314359108898327,,,
5647.091851462001,1236,,,,-18.204939660359166,12.55233896771419,0.196333746412558,4731,0,2.327934376865391,,,
5647.114026462001,1236,,,,,12.552122894841771,0.19634200055337725,4731,0,2.332785068636046,,,
5647.136246462001,1236,,,,,12.551986868411383,0.19659911264441332,4737,0,2.3368197545763167,,,
5647.158991462001,1236,,,,,12.551907499598316,0.19761967250081053,4738,0,2.3536081204774195,,,
5647.190351462001,1236,,,,,12.551568212473693,0.19643615827310482,4741,0,2.340261877712277,,,
5647.218886462,1236,,,,,12.551298229415972,0.19825489427448867,4743,0,2.3587097184193704,,,
5647.241181462001,1236,,,,,12.551398370855726,0.19833038044616047,4751,0,2.3639986881877757,,,
5647.2649214620005,1236,,,,-18.522545308878275,12.551252235285558,0.1979156722149818,4751,0,2.367180488809879,,,
5647.286851462001,1236,,,,,12.551089706577628,0.19672967917228906,4750,0,2.3544487522006117,,,
5647.309286462,1242,,,,,12.55120834737154,0.19641477990257866,4751,0,2.345233938292627,,,
5647.342166462002,1242,,,,,12.551293714148123,0.19359757449360757,4751,0,2.312794384315223,,,
5647.370406462001,1242,,,,,12.551087417989322,0.1955130046086044,4751,0,2.3376921252183944,,,
5647.394521462001,1242,,,,-18.623134635650185,12.550497225810963,0.20062386739767757,4768,0,2.3992425587552813,,,
